epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,6955.92,1.13627,0.52796,1.21087,0.95142,0.95036,0.96601,0.68906,1.11335,0.48176,1.27631,0.008713,0.008713,0.008713
67,7060.67,1.14376,0.53238,1.20037,0.94769,0.9494,0.96745,0.6918,1.10574,0.46673,1.26847,0.0086932,0.0086932,0.0086932
68,7162.08,1.14015,0.52903,1.1965,0.94338,0.95757,0.96887,0.69447,1.10108,0.47109,1.25288,0.0086734,0.0086734,0.0086734
69,7269.71,1.14024,0.53005,1.18399,0.94851,0.95513,0.96161,0.68978,1.10264,0.47477,1.23991,0.0086536,0.0086536,0.0086536
70,7373.49,1.13212,0.51532,1.19989,0.9466,0.95491,0.96005,0.694,1.09889,0.47165,1.25308,0.0086338,0.0086338,0.0086338
71,7477.73,1.12782,0.51618,1.18518,0.9505,0.95284,0.96188,0.69756,1.089,0.47894,1.2432,0.008614,0.008614,0.008614
72,7584.21,1.11851,0.51262,1.18371,0.94744,0.9576,0.962,0.69543,1.09344,0.47212,1.24586,0.0085942,0.0085942,0.0085942
73,7688.44,1.1068,0.51314,1.17335,0.95248,0.95969,0.97038,0.69932,1.09867,0.46737,1.2457,0.0085744,0.0085744,0.0085744
74,7791.06,1.12495,0.52973,1.18487,0.95588,0.9505,0.96964,0.70358,1.09644,0.47434,1.25044,0.0085546,0.0085546,0.0085546
75,7892.27,1.10354,0.50987,1.18322,0.9461,0.95621,0.96304,0.69762,1.09769,0.47503,1.26484,0.0085348,0.0085348,0.0085348
76,7996.36,1.10199,0.5049,1.16494,0.94552,0.95646,0.956,0.69115,1.09869,0.47323,1.24166,0.008515,0.008515,0.008515
77,8099.62,1.11775,0.51193,1.17102,0.94901,0.95731,0.96102,0.69846,1.0885,0.46417,1.23797,0.0084952,0.0084952,0.0084952
78,8204.31,1.10605,0.50682,1.16946,0.95172,0.95959,0.95602,0.693,1.09019,0.47146,1.243,0.0084754,0.0084754,0.0084754
79,8309.27,1.09525,0.51056,1.17074,0.94774,0.96034,0.96367,0.70196,1.08924,0.46395,1.23317,0.0084556,0.0084556,0.0084556
80,8413.98,1.11343,0.50363,1.16947,0.94991,0.96001,0.96567,0.70938,1.07287,0.4559,1.23103,0.0084358,0.0084358,0.0084358
